picid,episode,chinese_title,original_title,music,original_picurl,,comment
84,65,,Assembling Components #65 (part 1),https://www.youtube.com/watch?v=SbAVp68s_gA,https://srgrafo.com/storage/comics/6ZGUJ1AGo0YfvcV0RVNKdHCYCI8XIE529ezZN0sz.jpeg,,
85,65,,Assembling Components #65 (part 2),https://www.youtube.com/watch?v=K61-tK7Xlzg,https://srgrafo.com/storage/comics/t981rPpSfvOLFjizuzwzUbeJV3Iq5IEd1lFZ01N9.jpeg,,
86,65,,Assembling Components #65 (part 3),https://www.youtube.com/watch?v=dZOaiu8336I,https://srgrafo.com/storage/comics/rBSVvpsZhgZHKscgaucReDzSXjpDOwqGMWdCmV3S.jpeg,,
87,-,,The endless Wasp,https://www.youtube.com/watch?v=BkPdEbcmF2E,https://srgrafo.com/storage/comics/hOQj5hoiT5Lu5hluKaTBblpAOpo0LKS9GR18pwIX.jpeg,,
88,66,,The Defiler #66,https://www.youtube.com/watch?v=kRTA7lHVCAk,https://srgrafo.com/storage/comics/TWWZU7R6AKhs8ugkTZH6gqJwYkgRBuD6ar5B7odh.jpeg,,
89,67,,The Wasps #67,https://www.youtube.com/watch?v=q0z08OpmEPc,https://srgrafo.com/storage/comics/42D2eCt2eCo27g6YSDHtSsfQYzU91QLjiITqNgwg.jpeg,,
90,68,,Strange yet familiar #68 (part 1),https://www.youtube.com/watch?v=Pu0zGDVg6Bg,https://srgrafo.com/storage/comics/PtnWWR8YzcehHnTqHtuIIsw6DpIVpTMCz3C0AuRi.jpeg,,
91,68,,Strange yet familiar #68 (part 2),https://www.youtube.com/watch?v=qAf3mc01U6M,https://srgrafo.com/storage/comics/Lx9dqS9FShcEhkYOt3LRptLt2q1Pp5z1v4vEnays.jpeg,,
92,69,,Hootsak priorities #69,https://www.youtube.com/watch?v=K61-tK7Xlzg,https://srgrafo.com/storage/comics/XWo6YPUKFOochnarO6oDAUQDeEgls7KlHfasWUqs.jpeg,,
93,70,,A silent conversation #70,https://www.youtube.com/watch?v=GoAZ5K1aCnk,https://srgrafo.com/storage/comics/wEvRD77jzWuFiSqaLdY6mtDvm4li0bnDUa3uEtr9.jpeg,,
94,71,,Introductions #71 (part 1),https://youtu.be/uPFwKdVe3J8?t=31,https://srgrafo.com/storage/comics/HoKiCTbwhGfyIpihjz3kmFbKSK5c2UCdUoHhhxIm.jpeg,,
95,71,,Introductions #71 (part 2),https://youtu.be/Td6R3TmEbcA?t=6,https://srgrafo.com/storage/comics/O5hEcv0S1SNmRaCBkJgBlmB2upwT8ilDpg6H8pRv.jpeg,,
96,72,,The covenant #72,https://youtu.be/p5ys0S7Hbc8?t=79,https://srgrafo.com/storage/comics/21rL3r8DyPYAcSLvEH9l3ujFfOPguMBehUbLCHvf.jpeg,,
97,73,,Into the nest #73 (part 1),https://www.youtube.com/watch?v=_QQqisp76y4,https://srgrafo.com/storage/comics/4WvIh0bDWXTFvFiOn5XYnuQ6TGuP0AoiQjG2mwwA.jpeg,,
98,73,,Into the nest #73 (part 2),https://www.youtube.com/watch?v=tyljb6u_cHk,https://srgrafo.com/storage/comics/0J5bInov1Cfdts0TdQTk2ohyz5fvQKNxb2DXqL2G.jpeg,,
99,74,,A reason to go home #74,https://www.youtube.com/watch?v=Ns7lrumJSVo,https://srgrafo.com/storage/comics/2MXL0HHOkUbPZlIk7UdAC6lMtTLTwhSDBlCxy44z.jpeg,,
100,75,,Catalyst #75,https://www.youtube.com/watch?v=mMYIuUe0BGw&feature=youtu.be&t=5,https://srgrafo.com/storage/comics/tSJw8omPhkzZ5QExCh3Cn4fdXO1WdapVwudiupnG.jpeg,,
101,76,,A perfect heist #76 (part 1),https://www.youtube.com/watch?v=69jFMhYNJUQ,https://srgrafo.com/storage/comics/1zcPz181NhV33fS5TO8wmOfR72l8aYslXxbLte0i.jpeg,,
102,76,,A perfect heist #76 (part 2),https://www.youtube.com/watch?v=sZKd-ykX7O8,https://srgrafo.com/storage/comics/xrVKfCDNjb5g1rAUJf0ukSurR6ZuNvMCfsDNXonr.jpeg,,
103,76,,A perfect heist #76 (part 3),https://www.youtube.com/watch?v=t7aZGuaHoww,https://srgrafo.com/storage/comics/EL2chz7igsQOO7ozsvFewohFs1QZbiy0RRuoyWrd.jpeg,,
104,77,,One for the team #77 (part 1),https://www.youtube.com/watch?v=TYvERSXmz1Q,https://srgrafo.com/storage/comics/nwRfFgx9U5lhn9Epm0hMcIhZBCCZreB8K4oIIsPb.jpeg,,
105,77,,One for the team #77 (part 2),https://youtu.be/8XfkyaDqtuA?t=1,https://srgrafo.com/storage/comics/61Cd3H9xh6vBRU7MmvKTcFldm3SJ4kEfAAF8ZnNj.jpeg,,
106,77,,One for the team #77 (part 3),https://youtu.be/SLkFOkoFjO4?t=11,https://srgrafo.com/storage/comics/eP0WJvfK6gQZ89F8DMtvBFaZLiyCquJHVPlflaLH.jpeg,,
107,78,,The Red Room #78 (part 1),https://www.youtube.com/watch?v=bAPmMrgKDLo,https://srgrafo.com/storage/comics/tFl78PiAwfsbj8z2G2MHj8in8ZB8Z5PrjoUX52Jy.jpeg,,
108,78,,The Red Room #78 (part 2),https://www.youtube.com/watch?v=qgrtlSn_opY,https://srgrafo.com/storage/comics/Uqo6NG4VDSmUBgBIp3dF1Jw70eSXIcrBSnG3duAa.jpeg,,
109,78,,The Red Room #78 (part 3),https://www.youtube.com/watch?v=-V_uTpTNKvY&start=20,https://srgrafo.com/storage/comics/PmHBOPmaGlKuyjpNYgpR3jYMwREiej0Erq5aEkGl.jpeg,,
110,78,,The Red Room #78 (part 4),https://youtu.be/__-mSpLnaXM?t=32,https://srgrafo.com/storage/comics/hATnyueRONcSvTswY3EvgTpcuzSn6e69vrGwOX39.jpeg,,
111,78,,The Red Room #78 (part 5),https://www.youtube.com/watch?v=F5EZ_orX51I,https://srgrafo.com/storage/comics/1dsKRdzLbo5UAIb1V9XKXUZhHTtuJ0pzqEz2Sns2.jpeg,,
112,79,,Old Snow #79,https://www.youtube.com/watch?v=lAwYodrBr2Q,https://srgrafo.com/storage/comics/dkMhidHJvBwN027aHREFEmub5fwPRwWBXKR9CX26.jpeg,,
113,80,,Warm Snow #80,https://www.youtube.com/watch?v=q_E9p6KN71o&feature=youtu.be&t=170,https://srgrafo.com/storage/comics/xE72CvqC2uqZ2NCWSLmGnWc729KUdJ077Ml968Dm.jpeg,,
114,81,,There is a man in the sky #81,https://www.youtube.com/watch?v=urV8MIcLDFk,https://srgrafo.com/storage/comics/JvKwJFtRRvy0rsg0tbcijslXU1GXIZ3y7JKFQWHX.jpeg,,
115,82,,The Pantomath #82,https://www.youtube.com/watch?v=qWEtqglTVK0,https://srgrafo.com/storage/comics/jtO7ICI0z1y8MBDmJPmFvLGdcbttyE4XaaYiIw8R.jpeg,,
116,83,,Blue #83 (part 1),https://www.youtube.com/watch?v=Inz9Urx40OI,https://srgrafo.com/storage/comics/SO0eUNC7u4XdoXXecbBrmTXBLMUkxccGuFP0eYcX.jpeg,,
117,83,,Blue #83 (part 2),https://www.youtube.com/watch?v=_xPxETsWcbU&feature=youtu.be&t=3,https://srgrafo.com/storage/comics/as560QEEvkicFTwV4ONO5qcjV6RFnbYlIOk6IGSh.jpeg,,
118,83,,Blue #83 (part 3),https://www.youtube.com/watch?v=Pu0zGDVg6Bg,https://srgrafo.com/storage/comics/yb0kh1SMH6H5tdLRQUDbsxUnkLJbYyBZFdk21Cm5.jpeg,,
119,83,,Blue #83 (part 4),https://www.youtube.com/watch?v=PR60FpIFweI,https://srgrafo.com/storage/comics/uQWIKAbAFGbwZhTrcffZ8dttpH6kpmsSOmjHrjqC.jpeg,,
120,83,,Blue #83 (part 5),https://www.youtube.com/watch?v=TXH6l0lryDA&feature=youtu.be&t=67,https://srgrafo.com/storage/comics/lkMkbyme6CfVZ6PKUVNGH0WYZjHJqtQ1ZJRhSpjt.jpeg,,
121,83,,Blue #83 (part 6),https://www.youtube.com/watch?v=03qBqP2I4p8,https://srgrafo.com/storage/comics/lP9yUQylI72Sm8wxceHnYmNnZJOiAqBJzMNdzsSJ.jpeg,,
latest,83,,Blue #83 (part 6),https://www.youtube.com/watch?v=03qBqP2I4p8,https://srgrafo.com/storage/comics/lP9yUQylI72Sm8wxceHnYmNnZJOiAqBJzMNdzsSJ.jpeg,,
